Source	Interaction	Target
PTGER4	3	ARRB
PTGER4	3	GNAS
PTGER4	3	GBG
PTGER4	3	GNAI
PTGER3	3	ARRB
PTGER3	3	GBG
PTGER3	3	GNAI
PTGER2	3	ARRB
PTGER2	3	GNAS
GNAQ	3	PLCG1
GNAQ	3	PLCB1
PTGER1	3	ARRB
PTGER1	3	GNAQ
nPRKC	3	LCP1_S5
CAMKii	3	STMN1_S16
CAMKii	3	ETS1_S285
CAMKii	3	CD44_S706
CAMKii	3	GFPT1_S261
CSNK2A1	2	HMGN1_S7
CSNK2A1	3	CD5_S483
CSNK2A1	3	CALM1_S82
CSNK2A1	3	SSB_S366
CSNK2A1	3	MYH9_S1943
CSNK2A1	3	IGF2R_S2484
CSNK2A1	3	IGF2R_S2409
CSNK2A1	3	EIF2S2_S2
CSNK2A1	3	NCOA2_S493
CSNK2A1	3	HDAC2_S394
CSNK2A1	3	HDAC1_S393
CSNK2A1	3	G3BP1_S149
CSNK2A1	3	LIG1_S66
CSNK2A1	3	LIG1_S141
AURKA	3	NUMA1_S2047
AURKA	3	NUMA1_S1969
AURKA	3	TACC3_S558
CDK7	3	CDK11B_T595
CDK7	2	MCM2_S27
CDK7	3	POLR2A_S1913
CDK7	3	CDK12_T893
PRKAA1	3	PRKAB1_S108
cPRKC	3	LMNB1_S405
GSK3B	3	NFKB1_S907
MAPKAPK2	3	RCSD1_S179
MAPKAPK2	3	NELFE_S51
MAPKAPK2	3	NELFE_S115
MAPKAPK2	3	ZFP36L1_S54
MAPKAPK2	3	LSP1_S252
nPRKC	3	PTPN7_S44
nPRKC	3	ARHGEF6_S225
nPRKC	3	ARHGEF6_S488
CHEK1	3	RBM14_S627
CHEK1	3	RBM14_S618
CHEK1	3	OSBPL11_S189
PRKACA	3	VASP_S239
PRKACA	3	CHKB_S39
PRKACA	3	CHKB_S40
PRKACA	3	PDE3B_S442
PRKACA	3	FYN_S21
PRKACA	3	VIM_S73
PRKACA	3	ATXN1_S775
PRKACA	3	CAD_S1406
PRKACA	3	PSMD11_S14
PRKACA	3	NF2_S518
PRKACA	3	LCP1_S7
PRKACA	3	SUN2_S116
PRKACA	3	ITGA4_S1021
PRKACA	3	RASGRP2_S587
MAPK3	3	ETV6_S22
MAPK3	3	ABI1_S183
MAPK3	3	SMAD2_T8
MAPK3	3	MED1_T1051
MAPK3	3	HNRNPK_S284
MAPK3	3	CANX_S583
MAPK3	3	CDKN1B_S178
MAPK3	3	EXOC7_S250
MAP4K1	3	MAP4K1_S421
SRC	2	PAG1_Y317
PTK2B	3	PTK2B_S375
RPS6KB2	3	HNRNPA1_S6
CDK1	3	FLNA_S1459
CDK1	3	SRRM2_T866
CDK1	3	OGFR_S378
CDK1	3	ZC3HC1_S395
CDK1	3	SSR1_S268
CDK1	3	RCC1_S11
CDK1	3	LMNA_S390
CDK1	3	TFPT_S180
CDK1	3	USP24_S2047
CDK1	2	CDK7_T170
CDK1	3	CDK7_S164
CDK1	2	NPM1_S70
CDK1	3	UBAP2L_S454
CDK1	3	EEF1D_S133
CDK1	3	SUPT5H_S666
CDK1	3	CREB1_S271
CDK1	3	NAGK_S76
CDK1	3	EFHD2_S74
CDK1	3	SQSTM1_S272
CDK1	3	HIST1H1E_T18
HIPK2	3	MECP2_S80
PRKDC	3	VIM_S430
PRKD1	3	HDAC7_S486
PRKD1	3	RABEP1_S407
MAP3K7	3	KSR1_S406
STK11	3	SNRK_S569
PKN2	3	LCK_Y394
MARK2	3	RAB11FIP1_S234
CLK2	2	PTPN1_S50
SGK1	3	NDRG1_S364
GSK3B	3	HNRNPD_S83
GSK3B	3	BCLAF1_S531
LCK	3	LCK_Y505
MAPK14	2	SLC9A1_S693
MAPK14	2	ATF2_S112
MAPK14	3	EPS15_S796
CHUK	3	NCOA3_S857
CDK2	3	SNAPIN_S133
CDK2	3	BTG1_S159
CDK2	3	NCL_S67
CDK2	3	SF3B1_T142
