Species	nodesP
GNAQ	NA
PTGER1	D
CSNK2A1	NA
PRKG1	NA
CDC7	NA
LCK	NA
MTOR	NA
AKT	NA
NEK3	NA
CDK2	NA
ARRB	NA
cPRKC	NA
RHOA	NA
PLCB1	NA
PLCG1	NA
SRC	NA
CCNB1	NA
MAPK10	NA
PI3K	NA
GBG	NA
MAP2K1	NA
RAF1	NA
LCK_Y505	P
CDC7_T376	NA
CCNB1_S128;S126	NA
LCK_S59;S42	NA
NEK3_S253	NA
PTGER2	D
MAPK3	NA
GNAS	NA
nPRKC	NA
MAP2K2	NA
GSK3B	NA
PRKACA	NA
PTGER3	D
GNAI	NA
PTGER4	D
LYN	NA
IRS1	NA
ROCK1	NA
RPS6KB1	NA
PDE4D	NA
GNA12	NA
PTEN	NA
EZR	NA
VIM	NA
CASP3	NA
APC	NA
LBC	NA
RAC1	NA
CDC42	NA
PDPK1	NA
IGF2R_S2484	P
LASP1_S146	P
MFAP1_S116	P
SRRM2_S1318	P
EMSY_S209	P
LUZP1_S659	P
PRPF31_T455	P
BAG3_S289	P
LCP1_S5	P
SCRIB_S1378	P
EIF4B_S406	P
